BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2780,6279875,2780,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,265,0.16
32009,6271161,32009,"Technic, Liftarm, Modified Bent Thick 1 x 11.5 Double",1,15,White,Solid Colors,18,3.46
32013,6284699,32013,"Technic, Axle and Pin Connector Angled #1",11,0,Black,Solid Colors,18,0.46
32014,6268905,32014,"Technic, Axle and Pin Connector Angled #6 - 90 degrees",11,0,Black,Solid Colors,2,0.66
32034,6271869,32034,"Technic, Axle and Pin Connector Angled #2 - 180 degrees",11,0,Black,Solid Colors,7,0.68
32054,6347789,32054,"Technic, Pin 3L with Friction Ridges and Stop Bush",5,4,Red,Solid Colors,48,0.33
32062,4142865,32062,"Technic, Axle  2L Notched",5,4,Red,Solid Colors,14,0.26
32073,4114740,32073,"Technic, Axle  5L",11,0,Black,Solid Colors,9,0.66
32073,4211639,32073,"Technic, Axle  5L",86,71,Light Bluish Gray,Solid Colors,4,0.66
4265c,6271167,4265c,Technic Bush 1/2 Smooth,3,14,Yellow,Solid Colors,14,0.1
32140,6271827,32140,"Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4",5,4,Red,Solid Colors,2,1.43
32184,6276951,32184,"Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole",11,0,Black,Solid Colors,8,0.64
32278,4542578,32278,"Technic, Liftarm Thick 1 x 15",1,15,White,Solid Colors,32,4.0
32316,4211651,32316,"Technic, Liftarm Thick 1 x 5",86,71,Light Bluish Gray,Solid Colors,1,1.21
32348,6278132,32348,"Technic, Liftarm, Modified Bent Thick 1 x 7 (4 - 4)",1,15,White,Solid Colors,17,2.0
32523,4142822,32523,"Technic, Liftarm Thick 1 x 3",11,0,Black,Solid Colors,2,0.7
32523,,32523,"Technic, Liftarm Thick 1 x 3",36,10,Bright Green,Solid Colors,13,0.7
32523,4153718,32523,"Technic, Liftarm Thick 1 x 3",5,4,Red,Solid Colors,11,0.7
32523,4509376,32523,"Technic, Liftarm Thick 1 x 3",7,1,Blue,Solid Colors,9,0.7
32524,4495930,32524,"Technic, Liftarm Thick 1 x 7",86,71,Light Bluish Gray,Solid Colors,17,1.74
32525,4611705,32525,"Technic, Liftarm Thick 1 x 11",86,71,Light Bluish Gray,Solid Colors,16,2.8
32526,4585040,32526,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",1,15,White,Solid Colors,7,1.77
32526,4211713,32526,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",86,71,Light Bluish Gray,Solid Colors,3,1.77
